card_name,qty,is_bulk,tcg_set_name,tcg_h,tcg_m,tcg_l,tcg_date
cognivore,1,,,,,,
coiling oracle,2,,,,,,
collateral damage,2,,,,,,
collective unconscious,0,,,,,,
colossal heroics,,TRUE,,,,,
colossodon yearling,,TRUE,,,,,
commander's sphere,2,,,,,,
commencement of festivities,1,,,,,,
common bond,4,,,,,,
commune with lava,1,,,,,,
commune with nature,1,,,,,,
comparative analysis,1,,,,,,
complete disregard,4,,Battle for Zendikar,$1.13 ,$0.13 ,$0.01 ,7/7/2017 10:26
compulsion,2,,,,,,
compulsive research,2,,,,,,
compulsory rest,,TRUE,,,,,
concentrate,2,,,,,,
conclave naturalists,2,,,,,,
conclave phalanx,1,,,,,,
concordant crossroads,1,,,,,,
concordia pegasus,,TRUE,,,,,
conduit of ruin,1,,Battle for Zendikar,$2.99 ,$0.63 ,$0.24 ,7/7/2017 10:26
cone of flame,2,,,,,,
confirm suspicions,2,,,,,,
confiscate,1,,,,,,
confront the unknown,4,,,,,,
congregate,3,,,,,,
conifer strider,1,,,,,,
conjured currency,1,,,,,,
conjurer's ban,1,,,,,,
consecrate sphinx,1,,,,,,
consecrated by blood,,TRUE,,,,,
consign to dust,2,,,,,,
constricting sliver,2,,,,,,
consul's lieutenant,2,,,,,,
consulate skygate,0,,,,,,
consulate skygate,,TRUE,,,,,
consulate turret,1,,,,,,
consult the necrosages,2,,,,,,
consuming bonfire,1,,,,,,
consuming sinkhole,,TRUE,,,,,
containment membrane,4,,,,,,
contaminated ground,2,,,,,,
contested cliffs,1,,,,,,
contradict,4,,,,,,
convicted killer,4,,,,,,
coordinated assault,3,,,,,,
copperhoof vorrac,1,,,,,,
copy enchantment,2,,,,,,
coral atoll,1,,,,,,
coral barrier,4,,,,,,
coral eel,,TRUE,,,,,
coral merfolk,,TRUE,,,,,
coral merfolk (f),1,,,,,,
coralhelm guide,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
corpse connoisseur,1,,,,,,
corpse hauler,,TRUE,,,,,
corpse lung,,TRUE,,,,,
corpsejack menace (f),1,,,,,,
corpseweft,1,,,,,,
corrupt,3,,,,,,
corrupted crossroads,1,,,,,,
corrupted grafstone,0,,,,,,
council of the absolute,1,,,,,,
counsel of the soratami,1,,,,,,
counterflux,1,,,,,,
counterlash,1,,,,,,
countermand,1,,,,,,
counterspell,3,,,,,,
countersquall,1,,,,,,
courier griffin,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
courser of kruphix,2,,,,,,
coursers' accord,4,,,,,,
court street denizen,5,,,,,,
covenant of blood,,TRUE,,,,,
cower in fear,3,,,,,,
cowl prowler,2,,,,,,
crackdown construct,0,,,,,,
crackdown construct,,TRUE,,,,,
crackling triton,,TRUE,,,,,
cradle of vitality,1,,,,,,
crafty pathmage,,TRUE,,,,,
cranial archive,0,,,,,,
crater elemental,1,,,,,,
crater hellion,1,,,,,,
craterize,3,,,,,,
craven knight,,TRUE,,,,,
craw wurm,,TRUE,,,,,
crawling sensation,2,,,,,,
crawlspace,1,,,,,,
creature bond,,TRUE,,,,,
creeperhulk,1,,,,,,
creeping corrosion,2,,,,,,
creeping dread,2,,,,,,
creeping renaissance,1,,,,,,
creepy doll (f),0,,,,,,
cremate,4,,,,,,
crenellated wall,0,,,,,,
crenellated wall,,TRUE,,,,,
crested craghorn,,TRUE,,,,,
crippling blight,,TRUE,,,,,
crippling chill,8,,,,,,
crocanura,4,,,,,,
crookclaw elder,1,,,,,,
crop rotation,1,,,,,,
crop sigil,1,,,,,,
crosis's charm,1,,,,,,
crosstown courier,,TRUE,,,,,
crossway vampire,4,,,,,,
crowd's favor,,TRUE,,,,,
crown of doom,2,,,,,,
crown of suspicion,,TRUE,,,,,
crown of vigor,,TRUE,,,,,
crowned ceratok,2,,,,,,
crucible of fire,1,,,,,,
crucible of worlds,1,,,,,,
cruel feeding,,TRUE,,,,,
cruel finality,1,,,,,,
cruel revival,2,,,,,,
cruel sadist,1,,,,,,
cruel ultimatum,1,,,,,,
crumble to dust,,,Battle for Zendikar,$1.70 ,$0.29 ,$0.05 ,7/7/2017 10:26
crumbling vestige,2,,,,,,
crusader of odric,1,,,,,,
crushing vines,3,,,,,,
crypsis,3,,,,,,
crypsis (f),1,,,,,,
crypt creeper,,TRUE,,,,,
crypt incursion,3,,,,,,
crypt sliver,1,,,,,,
cryptic command,0,,,,,,
cryptic cruiser,,TRUE,Battle for Zendikar,$1.21 ,$0.20 ,$0.01 ,7/7/2017 10:26
cryptolith fragment,1,,,,,,
crystal ball,2,,,,,,
crystal vein,1,,,,,,
culling drone,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.02 ,7/7/2017 10:26
culling mark,4,,,,,,
cult of the waxing moon,1,,,,,,
cultivate,1,,,,,,
cultivator drone,,TRUE,,,,,
cunning breezedancer,2,,,,,,
cunning strike,,TRUE,,,,,
curious homunculus,0,,,,,,
curse of chaos,1,,,,,,
curse of inertia,1,,,,,,
curse of misfortunes,1,,,,,,
curse of oblivion,1,,,,,,
curse of predation,0,,,,,,
curse of shallow graves,2,,,,,,
curse of the bloody tome,0,,,,,,
curse of the forsaken,1,,,,,,
curse of the nightly hunt,1,,,,,,
curse of the swine,1,,,,,,
curse of thirst,4,,,,,,
custodian of the trove,,TRUE,,,,,
cutthroat maneuver,,TRUE,,,,,
cyclone sire,,TRUE,,,,,
cyclonic rift,2,,,,,,
cyclops of eternal fury,6,,,,,,
cyclops of one-eyed pass,,TRUE,,,,,
cyclops tyrant,,TRUE,,,,,
daggerdrome imp,,TRUE,,,,,
dakmor bat,,TRUE,,,,,
dakra mystic,2,,,,,,
damnable pact,1,,,,,,
dampen thought,1,,,,,,
dampening pulse,4,,Battle for Zendikar,$1.19 ,$0.20 ,$0.01 ,7/7/2017 10:26
damping matrix,1,,,,,,
dance of the skywise,,TRUE,,,,,
dance with devils,1,,,,,,
dandan,,TRUE,,,,,
dangerous wager,1,,,,,,
daring apprentice,1,,,,,,
daring skyjek,3,,,,,,
daring sleuth,1,,,,,,
daring thief,2,,,,,,
dark banishing,2,,,,,,
dark betrayal,4,,,,,,
dark dabbling,3,,,,,,
dark deal,2,,,,,,
dark favor,,TRUE,,,,,
dark heart of the wood,1,,,,,,
dark maze,,TRUE,,,,,
dark petition,2,,,,,,
dark revenant,,TRUE,,,,,
dark ritual,1,,,,,,
darksteel citadel,0,,,,,,
darksteel ingot,2,,,,,,
darksteel pendant,1,,,,,,
darksteel plate,0,,,,,,
daru lancer,,TRUE,,,,,
daru mender,,TRUE,,,,,
daru sanctifier,,TRUE,,,,,
dauntless cathar,1,,,,,,
dauntless cathar,,TRUE,,,,,
dauntless onslaught,,TRUE,,,,,
dauntless river marshal,,TRUE,,,,,
dawn to dusk,4,,,,,,
dawnbringer charioteers,2,,,,,,
dawnfeather eagle,,TRUE,,,,,
dawnstrike paladin,,TRUE,,,,,
dawntreader elk,2,,,,,,
daxos of meletis,1,,,,,,
day's undoing,4,,,,,,
day of the dragon,1,,,,,,
dazzling ramparts,,TRUE,,,,,
dead drop,0,,,,,,
dead reckoning,1,,,,,,
dead reveler,3,,,,,,
dead weight,,TRUE,,,,,
deadbridge goliath,1,,,,,,
deadbridge shaman,,TRUE,,,,,
deadeye navigator,1,,,,,,
deadlock trap,0,,,,,,
deadly allure,2,,,,,,
deadly recluse,4,,,,,,
deadly wanderings,1,,,,,,
deadshot minotaur,,TRUE,,,,,
death's-head buzzard,,TRUE,,,,,
death's caress,4,,,,,,
death's duet,1,,,,,,
death denied,1,,,,,,
death frenzy,1,,,,,,
death grasp,1,,,,,,
death pit offering,1,,,,,,
death wind,1,,,,,,
deathbellow raider,,TRUE,,,,,
deathbringer regent (f),1,,,,,,
deathbringer thoctar,1,,,,,,
deathcult rogue,4,,,,,,
deathgaze cockatrice,,TRUE,,,,,
deathgazer,,TRUE,,,,,
deathgrip,1,,,,,,
deathless behemoth,3,,Battle for Zendikar,$1.19 ,$0.20 ,$0.01 ,7/7/2017 10:26
deathmist raptor,1,,,,,,
deathpact angel,1,,,,,,
debilitating injury,,TRUE,,,,,
debt to the deathless,4,,,,,,
debtor's pulpit,,TRUE,,,,,
decimate,2,,,,,,
decimator web,1,,,,,,
declaration in stone,1,,,,,,
decommission,1,,,,,,
decorated griffin,,TRUE,,,,,
decree of justice,1,,,,,,
decree of pain,0,,,,,,
deep-sea kraken,2,,,,,,
deep-sea terror,,TRUE,,,,,
deep analysis,1,,,,,,
deepfathom skulker,1,,,,,,
deepwater hypnotist,,TRUE,,,,,
deepwood drummer,,TRUE,,,,,
deepwood ghoul,,TRUE,,,,,
defang,1,,,,,,
defeat,,TRUE,,,,,
defend the hearth,4,,,,,,
defender en-vec,,TRUE,,,,,
defender of chaos,,TRUE,,,,,
defensive maneuvers,,TRUE,,,,,
defiant bloodlord,,,Battle for Zendikar,$1.33 ,$0.31 ,$0.08 ,7/7/2017 10:26
defiant elf,1,,,,,,
defiant ogre,4,,,,,,
defiant salvager,,TRUE,,,,,
defiant strike,0,,,,,,
deflecting palm,1,,,,,,
deflection,1,,,,,,
deftblade elite,,TRUE,,,,,
dehydration,,TRUE,,,,,
deicide,2,,,,,,
deivlthorn fox,,TRUE,,,,,
delver of secrets,3,,,,,,
demigod of revenge,1,,,,,,
demolish,5,,,,,,
demon's grasp,,TRUE,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
demonlord of ashmouth,1,,,,,,
demystify,1,,,,,,
den protector,1,,,,,,
deny existence,3,,,,,,
deputy of acquittals,4,,,,,,
deranged assistant,1,,,,,,
deranged outcast,1,,,,,,
descend upon the sinful,1,,,,,,
descendants' path,1,,,,,,
descreation plague,4,,,,,,
desert cerodon,,TRUE,,,,,
desert twister,1,,,,,,
desolation twin,2,,Battle for Zendikar,$1.56 ,$0.48 ,$0.10 ,7/7/2017 10:26
desperate ravings,2,,,,,,
desperate ritual,2,,,,,,
desperate stand,4,,,,,,
despise,2,,,,,,
despoiler of souls (f),1,,,,,,
destroy the evidence,4,,,,,,
destructive revelry,2,,,,,,
destructor dragon,1,,,,,,
detention sphere,1,,,,,,
detonate,,TRUE,,,,,
deus of calamity,1,,,,,,
devastation tide,1,,,,,,
deviant glee,4,,,,,,
devil's play,1,,,,,,
devils' playground,1,,,,,,
devilthorn fox,,TRUE,,,,,
devouring greed,1,,,,,,
devouring light,3,,,,,,
dictate of erebos,2,,,,,,
dictate of heliod,2,,,,,,
dictate of karametra,1,,,,,,
dictate of karametra (f),1,,,,,,
dictate of kruphix,3,,,,,,
dictate of the twin gods,4,,,,,,
diffusion sliver,2,,,,,,
diffusion sliver (f),1,,,,,,
diminishing returns,2,,,,,,
dimir aqueduct,2,,,,,,
dimir charm,2,,,,,,
dimir cluestone,5,,,,,,
dimir guildgate,11,,,,,,
dimir guildmage,1,,,,,,
dimir infiltrator,1,,,,,,
dimir keyrune,2,,,,,,
dimir signet,2,,,,,,
din of the fireherd,1,,,,,,
dinrova horror,1,,,,,,
diplomatic immunity,1,,,,,,
dire undercurrents,1,,,,,,
diregraf captain,1,,,,,,
dirge of dread,1,,,,,,
dirgur nemesis,,TRUE,,,,,
disallow,0,,,,,,
disciple of deceit,4,,,,,,
disciple of griselbrand,1,,,,,,
disciple of law,,TRUE,,,,,
disciple of phenax,4,,,,,,
disciple of the old ways,,TRUE,,,,,
discombobulate,1,,,,,,
disdainful stroke,3,,,,,,
disdainful stroke (f),1,,,,,,
disenchant,1,,,,,,
disentomb,2,,,,,,
dismal backwater,7,,,,,,
dismantling blow,1,,,,,,
dismiss,2,,,,,,
dismiss into dream,1,,,,,,
disowned ancestor,3,,,,,,
dispel,0,,Battle for Zendikar,$1.16 ,$0.20 ,$0.06 ,7/7/2017 10:26
dispersal technician,1,,,,,,
disperse,5,,,,,,
display of dominance,,TRUE,,,,,
disruptive pitmage,1,,,,,,
dissension in the ranks,,TRUE,,,,,
dissipate,4,,,,,,
dissolve,2,,,,,,
distorting wake,2,,,,,,
divergent growth,,TRUE,,,,,
divination,3,,,,,,
divine favor,4,,,,,,
divine presence,1,,,,,,
divine verdict,4,,,,,,
diviner spirit,2,,,,,,
diving griffin,,TRUE,,,,,
djinn illuminatus,1,,,,,,
djinn of infinite deceits,1,,,,,,
domestication,1,,,,,,
dominator drone,,TRUE,Battle for Zendikar,$1.14 ,$0.15 ,$0.01 ,7/7/2017 10:26
domineering will,2,,,,,,
dominus of fealty,1,,,,,,
donate,1,,,,,,
doom blade,0,,,,,,
doomed dissenter,,TRUE,,,,,
doomed traveler,4,,,,,,
doomwake giant,2,,,,,,
door to nothingness,2,,,,,,
doorkeeper,2,,,,,,
dosan the falling leaf,1,,,,,,
douse in gloom,,TRUE,,,,,
dovescape,1,,,,,,
down // dirty,,TRUE,,,,,
downhill charge,1,,,,,,
downpour,,TRUE,,,,,
downsize,,TRUE,,,,,
dowsing shaman,1,,,,,,
draconic roar,2,,,,,,
drag under,1,,,,,,
dragon's claw,1,,,,,,
dragon's eye savant,3,,,,,,
dragon's eye sentry,,TRUE,,,,,
dragon-scarred bear,,TRUE,,,,,
dragon bell monk,5,,,,,,
dragon breath,1,,,,,,
dragon egg,2,,,,,,
dragon fangs,1,,,,,,
dragon fodder,8,,,,,,
dragon grip,3,,,,,,
dragon hatchling,4,,,,,,
dragon hunter,1,,,,,,
dragon mantle,2,,,,,,
dragon scales,1,,,,,,
dragon throne of tarkir,1,,,,,,
dragon token,,,Battle for Zendikar,$1.95 ,$0.23 ,$0.10 ,7/7/2017 10:26
dragonloft idol,,TRUE,,,,,
dragonlord's prerogative,1,,,,,,
dragonlord's servant,5,,,,,,
dragonlord atarka (pf),1,,,,,,
dragonlord dromoka,1,,,,,,
dragonlord kolaghan,1,,,,,,
dragonlord ojutai,1,,,,,,
dragonlord silumgar,1,,,,,,
dragonmaster outcast,,,Battle for Zendikar,$6.00 ,$3.49 ,$1.92 ,7/7/2017 10:26
dragonrage,1,,,,,,
dragonscale boon,4,,,,,,
dragonscale general,1,,,,,,
dragonshift,4,,,,,,
dragonstalker,,TRUE,,,,,
drain life,1,,,,,,
drainpipe vermin,4,,,,,,
drakewing krasis,4,,,,,,
dralnu's crusade,1,,,,,,
dramatic entrance,1,,,,,,
dramatic rescue,3,,,,,,
dramatic reveresal,1,,,,,,
dramatic reveresal (f),1,,,,,,
drana's emissary,2,,Battle for Zendikar,$1.41 ,$0.44 ,$0.20 ,7/7/2017 10:26
"drana, liberator of malakir",,,Battle for Zendikar,$15.00 ,$4.31 ,$2.25 ,7/7/2017 10:26
dread defiler (f),1,,,,,,
dreadbore,1,,,,,,
dreadbringer lampads,,TRUE,,,,,
dreadwaters,3,,,,,,
dreadwaters (f),1,,,,,,
dream fracture,2,,,,,,
dream twist,1,,,,,,
dreamborn muse,1,,,,,,
dreamscape artist,3,,,,,,
dreamstone hedron,3,,,,,,
dreamwinder,,TRUE,,,,,
dreg mangler,3,,,,,,
dreg mangler (f),1,,,,,,
drift of phantasms,3,,,,,,
drifting meadow,0,,,,,,
drogskol captain,2,,,,,,
drogskol cavalry,2,,,,,,
drogskol reaver,1,,,,,,
dromoka's command,1,,,,,,
dromoka's gift,,TRUE,,,,,
dromoka captain,2,,,,,,
dromoka dunecaster,,TRUE,,,,,
dromoka monument,1,,,,,,
dromoka warrior,,TRUE,,,,,
"dromoka, the eternal",2,,,,,,
drooling groodion,3,,,,,,
drove of elves,1,,,,,,
drown in filth,6,,,,,,
drown in sorrows,3,,,,,,
drowner initiate,2,,,,,,
drowner of hope,1,,Battle for Zendikar,$2.00 ,$0.45 ,$0.13 ,7/7/2017 10:26
drownyard explorers,,TRUE,,,,,
drownyard temple,1,,,,,,
drudge beetle,,TRUE,,,,,
drudge skeletons,,TRUE,,,,,
druid's deliverance,3,,,,,,
druid lyrist,1,,,,,,
druidic satchel,0,,,,,,
drumhunter,1,,,,,,
drunau corpse trawler,,TRUE,,,,,
dryad's caress,,TRUE,,,,,
dual shot,,TRUE,,,,,
dulcet sirens,2,,,,,,
duneblast (f),1,,,,,,
dungeon geists,1,,,,,,
duress,0,,,,,,
durkwood boars,,TRUE,,,,,
dusk imp,,TRUE,,,,,
duskdale wurm,,TRUE,,,,,
duskhunter bat,,TRUE,,,,,
duskmantle guildmage,1,,,,,,
duskmantle prowler,,TRUE,,,,,
"duskmantle, house of shadow",4,,,,,,
duskwalker,,TRUE,,,,,
duskwatch recruiter,1,,,,,,
dust stalker,1,,Battle for Zendikar,$1.70 ,$0.33 ,$0.05 ,7/7/2017 10:26
dutiful attendant,2,,,,,,
dutiful return,4,,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
dutiful thrull,4,,,,,,
dwarven ruins,1,,,,,,
dwarven scorcher,,TRUE,,,,,
dwarven warriors,,TRUE,,,,,
dwynen's elite,3,,,,,,
dynacharge,4,,,,,,
dynavolt tower,0,,,,,,
eager cadet,,TRUE,,,,,
eagle of the watch,,TRUE,,,,,
eagle of the watch (f),1,,,,,,
early harvest,1,,,,,,
earth elemental,,TRUE,,,,,
earthen arms,3,,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
eater of hope,2,,,,,,
echo mage,2,,,,,,
echo tracer,4,,,,,,
echoes of the kin tree,2,,,,,,
eddytrail hawk,,TRUE,,,,,
"edric, spymaster of trest",1,,,,,,
efreet weaponmaster,,TRUE,,,,,
ego erasure,,TRUE,,,,,
eidolon of blossoms,2,,,,,,
eidolon of countless battles,2,,,,,,
eidolon of rhetoric,3,,,,,,
eidolon of the great revel,1,,,,,,
ekundu griffin,,TRUE,,,,,
elderscale wurm,1,,,,,,
eldrazi aggressor,,TRUE,,,,,
eldrazi devastator,4,,Battle for Zendikar,$1.14 ,$0.15 ,$0.02 ,7/7/2017 10:26
eldrazi scion token (izzy),,,Battle for Zendikar,$1.00 ,$0.15 ,$0.02 ,7/7/2017 10:26
eldrazi scion token (nelson),,,Battle for Zendikar,$1.00 ,$0.16 ,$0.02 ,7/7/2017 10:26
eldrazi scion token (velinov),,,Battle for Zendikar,$1.00 ,$0.15 ,$0.02 ,7/7/2017 10:26
eldrazi skyspawner,4,,Battle for Zendikar,$2.22 ,$0.16 ,$0.04 ,7/7/2017 10:26
eldrazi token,,,Battle for Zendikar,$1.04 ,$0.32 ,$0.09 ,7/7/2017 10:26
electrickery,4,,,,,,
electrolyze,1,,,,,,
elemental bond,1,,,,,,
elemental token (3/1),,,Battle for Zendikar,$1.00 ,$0.19 ,$0.01 ,7/7/2017 10:26
elemental token (5/5),,,Battle for Zendikar,$1.49 ,$0.62 ,$0.29 ,7/7/2017 10:26
elemental uprising,,TRUE,,,,,
elgaud inquisitor,,TRUE,,,,,
elgaud shieldmate,2,,,,,,
elite arcanist,1,,,,,,
elite inquisitor,1,,,,,,
elite scaleguard,3,,,,,,
elite skirmisher,,TRUE,,,,,
elixir of immortality,2,,,,,,
elusive krasis,1,,,,,,
elusive spellfist,,TRUE,,,,,
elves of deep shadow,1,,,,,,
elvish guidance,1,,,,,,
elvish mystic,8,,,,,,
elvish piper,1,,,,,,
elvish skysweeper,1,,,,,,
elvish visionary,5,,,,,,
embargo,1,,,,,,
ember-eye wolf,,TRUE,,,,,
ember beast,,TRUE,,,,,
ember shot,,TRUE,,,,,
ember swallower,1,,,,,,
embermaw hellion,1,,,,,,
"emblem - gideon, ally of zendikar",,,Battle for Zendikar,$1.99 ,$0.34 ,$0.05 ,7/7/2017 10:26
"emblem - kiora, master of the depths",,,Battle for Zendikar,$1.29 ,$0.28 ,$0.03 ,7/7/2017 10:26
emblem - ob nixilis reignited,,,Battle for Zendikar,$2.00 ,$0.25 ,$0.03 ,7/7/2017 10:26
embodiment of spring,5,,,,,,
embolden,,TRUE,,,,,
embraal gear-smasher,,TRUE,,,,,
emerald medallion,1,,,,,,
emerald medallion,1,,,,,,
emeria angel,1,,,,,,
emeria sheperd,3,,,,,,
emeria shepherd,,,Battle for Zendikar,$1.60 ,$0.30 ,$0.09 ,7/7/2017 10:26
emissary of the sleepless,,TRUE,,,,,
emmara tandris,1,,,,,,
empyreal voyager,1,,,,,,
"emrakul, the promised end",1,,,,,,
encase in ice,,TRUE,,,,,
enchanted evening,1,,,,,,
enchantress's presence,1,,,,,,
encircling fissure,1,,Battle for Zendikar,$1.33 ,$0.20 ,$0.01 ,7/7/2017 10:26
encroaching wastes,2,,,,,,
encrust,5,,,,,,
endangered armodon,,TRUE,,,,,
endbringer,2,,,,,,
endemic plague,1,,,,,,
endless obedience,1,,,,,,
endless one,3,,Battle for Zendikar,$3.30 ,$0.81 ,$0.25 ,7/7/2017 10:26
endless ranks of the dead,4,,,,,,
"endrek sahr, master breeder",1,,,,,,
enduring renewal,1,,,,,,
enduring renewal,1,,,,,,
enduring scalelord,3,,,,,,
enduring victory,,TRUE,,,,,
energy flux,2,,,,,,
engulf the shore,0,,,,,,
enhanced awareness,,TRUE,,,,,
enlarge,4,,,,,,
enlightened ascetic,5,,,,,,
enrage,1,,,,,,
enshrouding mist,,TRUE,,,,,
ensoul artifact,1,,,,,,
enter the infinite,0,,,,,,
entering,2,,,,,,
enthralling victor,2,,,,,,
ephara's enlightment,2,,,,,,
ephara's radiance,,TRUE,,,,,
ephara's warden,,TRUE,,,,,
"ephara, god of the polis",1,,,,,,
ephemeral shields,5,,,,,,
epic confrontation,4,,,,,,
epic experiment,1,,,,,,
epiphany at the drownyard,1,,,,,,
epiphany storm,4,,,,,,
equestrian skill,,TRUE,,,,,
era of innovation,1,,,,,,
erase,6,,,,,,
erdwal illuminator,1,,,,,,
erdwal ripper,4,,,,,,
erebos's emissary,,TRUE,,,,,
erg raiders,,TRUE,,,,,
esperzoa,0,,,,,,
essence drain,,TRUE,,,,,
essence flux,1,,,,,,
essence harvest,3,,,,,,
essence scatter,0,,,,,,
essence warden,1,,,,,,
eternal thirst,4,,,,,,
eternal warrior,1,,,,,,
eternity snare,,TRUE,,,,,
eternity vessel,1,,,,,,
ethercaste knight,1,,,,,,
ethereal ambush,5,,,,,,
ethereal armor,3,,,,,,
ethereal guidance,,TRUE,,,,,
ethereal guidance,,TRUE,,,,,
evacuation,1,,,,,,
evangel of heliod,4,,,,,,
everflame eidolon,2,,,,,,
everflowing chalice,1,,,,,,
evil presence,3,,,,,,
evolution charm,1,,,,,,
evolving wilds,0,,Battle for Zendikar,$1.15 ,$0.15 ,$0.01 ,7/7/2017 10:26
"exava, rakdos blood witch",1,,,,,,
exclude,1,,,,,,
excoriate,,TRUE,,,,,
executioner's hood,3,,,,,,
executioner's swing,3,,,,,,
exert influence,,TRUE,Battle for Zendikar,$1.35 ,$0.31 ,$0.07 ,7/7/2017 10:26
expedite,1,,,,,,
expedition envoy,,,Battle for Zendikar,$1.70 ,$0.33 ,$0.01 ,7/7/2017 10:26
expedition map,2,,,,,,
expedition raptor,,TRUE,,,,,
expendable troops,,TRUE,,,,,
experiment aviator,1,,,,,,
exploration,1,,,,,,
explore,3,,,,,,
explosive apparatus,0,,,,,,
explosive apparatus,,TRUE,,,,,
explosive impact,,TRUE,,,,,
explosive vegetation,6,,,,,,
expose evil,,TRUE,,,,,
exquisite archangel,1,,,,,,
exquisite firecraft,1,,,,,,
extinguish all hope,0,,,,,,
extraplanar lens,0,,,,,,
eye gouge,,TRUE,,,,,
eye of nowhere,1,,,,,,
eye of the storm,0,,,,,,
eye spy,,TRUE,,,,,
eyeblight assassin,,TRUE,,,,,
eyeless watcher,4,,Battle for Zendikar,$1.14 ,$0.15 ,$0.02 ,7/7/2017 10:26
eyes in the skies,4,,,,,,
fabled hero,3,,,,,,
fabricate,1,,,,,,
fade into antiquity,4,,,,,,
faerie conclave,1,,,,,,
faerie impostor,1,,,,,,
faerie invaders,,TRUE,,,,,
faerie macabre,2,,,,,,
faerie miscreant,4,,,,,,
faerie squadron,,TRUE,,,,,
faith's shield,2,,,,,,
faithless looting,3,,,,,,
falkenrath exterminator,1,,,,,,
falkenrath noble,2,,,,,,
falkenrath torturer,,TRUE,,,,,
fall of the hammer,4,,,,,,
fallen angel,2,,,,,,
fallen cleric,,TRUE,,,,,
fanatic of mogis,4,,,,,,
fanatic of xenagos,2,,,,,,
fanatical devotion,1,,,,,,
far // away,3,,,,,,
farbog boneflinger,,TRUE,,,,,
farbog explorer,,TRUE,,,,,
farbog revenant,,TRUE,,,,,
farbog revenant,,TRUE,,,,,
farhaven elf,1,,,,,,
farseek,8,,,,,,
fascination,3,,,,,,
fatal fumes,,TRUE,,,,,
fate foretold,4,,,,,,
fate forgotten,5,,,,,,
fate unraveler,1,,,,,,
fated conflagration,1,,,,,,
fated conflagration (f),1,,,,,,
fated infatuation,2,,,,,,
fated intervention,1,,,,,,
fated retribution,1,,,,,,
fated return,0,,,,,,
fathom feeder,1,,Battle for Zendikar,$4.99 ,$0.35 ,$0.08 ,7/7/2017 10:26
fathom seer,2,,,,,,
favor of the woods,,TRUE,,,,,
favorable winds,1,,,,,,
favored hoplite,4,,,,,,
fear,,TRUE,,,,,
fearsome temper,,TRUE,,,,,
feast of dreams,,TRUE,,,,,
feast of worms,1,,,,,,
feast on the fallen,3,,,,,,
feat of resistance,0,,,,,,
fecundity,1,,,,,,
feed the clan,4,,,,,,
feed the pack,1,,,,,,
feedback,,TRUE,,,,,
feeding frenzy,1,,,,,,
feeling of dread,,TRUE,,,,,
felhide brawler,,TRUE,,,,,
felhide minotaur,,TRUE,,,,,
felhide petrifier,3,,,,,,
felhide spiritbinder,1,,,,,,
felidar cub,3,,Battle for Zendikar,$1.13 ,$0.14 ,$0.02 ,7/7/2017 10:26
felidar cub (f),1,,,,,,
felidar sovereign,1,,Battle for Zendikar,$5.00 ,$0.53 ,$0.10 ,7/7/2017 10:26
femeref enchantress,1,,,,,,
fencer clique,,TRUE,,,,,
fencing ace,4,,,,,,
feral animist,3,,,,,,
feral incarnation,3,,,,,,
feral invocation,,TRUE,,,,,
feral krushok,,TRUE,,,,,
feral ridgewolf,1,,,,,,
fertile ground,1,,,,,,
fertile thicket,7,,Battle for Zendikar,$1.14 ,$0.14 ,$0.01 ,7/7/2017 10:26
festergloom,2,,,,,,
festering goblin,1,,,,,,
festering newt,4,,,,,,
festering newt (f),1,,,,,,
fetid imp,,TRUE,,,,,
fiend hunter,3,,,,,,
fiend of the shadows,1,,,,,,
fierce invocation,,TRUE,,,,,
fiery conclusion,1,,,,,,
fiery impulse,5,,,,,,
fiery temper,3,,,,,,
filigree angel,1,,,,,,
filigree crawler,,TRUE,,,,,
filigree crawler,,TRUE,,,,,
filthy cur,,TRUE,,,,,
fire elemental,,TRUE,,,,,
fireball,3,,,,,,
firebreathing,,TRUE,,,,,
firefiend elemental,,TRUE,,,,,
firehoof cavalry,,TRUE,,,,,
firemane avenger,2,,,,,,
firemantle mage,,,Battle for Zendikar,$1.19 ,$0.20 ,$0.05 ,7/7/2017 10:26
firemind's foresight,1,,,,,,
fires of undeath,,TRUE,,,,,
fires of yavimaya,2,,,,,,
fireshrieker,1,,,,,,
firespout,1,,,,,,
firewing phoenix,1,,,,,,
first response,2,,,,,,
fissure,1,,,,,,
fissure vent,1,,,,,,
flame-kin zealot,1,,,,,,
flame javelin,1,,,,,,
flame slash,1,,,,,,
flame spirit,,TRUE,,,,,
flames of the firebrand,4,,,,,,
flamespeaker's will,,TRUE,,,,,
flamespeaker adept,,TRUE,,,,,
flamewright,1,,,,,,
flaming sword,1,,,,,,
flare,1,,,,,,
flash of insight,2,,,,,,
flashfires,2,,,,,,
flashfreeze (f),1,,,,,,
flatten,,TRUE,,,,,
flay,,TRUE,,,,,
flayed nim,,TRUE,,,,,
flayer drone,1,,,,,,
