card_name	qty_need	qty_have	qty_buy	qty_proxy
Chandra's Outrage	4	4	0	
Crossway Vampire	4	4	0	
Fervent Cathar	4	0	4	
Goblin Arsonist	4	3	1	
Goblin Shortcutter	4	4	0	
Heat Ray	4	3	1	
Lightning Elemental	4	0	4	
Mountain	24	24	0	
Thundering Giant	4	0	4	
Volcanic Dragon	4	0	4	
